"","State","District","SRB","IMR","U5MR","NNMR","CFI","SD","TFR","DR","LR","CSP","CL","ClusterID"
"247","Uttar Pradesh","Lucknow",873.3,44.28,58,28.56,68.93,86.56,2.23,57.77,82.07,89.29,3.21,1
"248","Uttar Pradesh","Maharajganj",912.2,78.01,96,61.1,58.94,60.63,3.23,85.29,65.86,92.51,3.15,2
"249","Uttar Pradesh","Mahoba",873.83,45.53,73,31.19,67.38,82.47,3.55,76.07,70.73,88.9,3.36,1
"250","Uttar Pradesh","Mainpuri",1056.29,50.27,78,33.62,50.65,54.24,3.37,76.69,83.93,91.75,1.28,2
"251","Uttar Pradesh","Mathura",860.28,44.03,58,31.32,45.46,72.24,2.98,72.47,81.3,85.31,2.1,1
"252","Uttar Pradesh","Mau",934.62,73.4,86,58.5,53.8,70.29,2.86,81.17,74.59,94.63,2.52,2
"253","Uttar Pradesh","Meerut",871.98,49.61,59,34.82,57.8,61.69,3.07,69.17,80.29,83.9,2.27,1
"254","Uttar Pradesh","Mirzapur",856.41,79.85,105,57.42,43.74,61.44,2.57,79.95,71.77,90.79,2.6,2
"255","Uttar Pradesh","Moradabad",1064.28,63.53,80,45.61,52.36,56.81,3.61,74.04,71.03,80.91,3.04,2
"256","Uttar Pradesh","Muzaffarnagar",905.34,51.3,71,36.77,53.47,60.83,3.22,70.26,77.8,83,2.18,2
"257","Uttar Pradesh","Pilibhit",960.32,73.36,91,50.48,55.63,51.27,3.56,73.17,71.56,78.5,4.42,2
"258","Uttar Pradesh","Pratapgarh",942.75,83.63,104,63.61,64.86,70.53,2.9,81.67,71.23,93.14,2.46,2
"259","Uttar Pradesh","Rae Bareli",890.16,53.24,80,34.84,54.79,75.69,3.29,72.86,70.97,87.93,3.13,2
"260","Uttar Pradesh","Rampur",918.27,60.08,86,45.2,61.46,61.35,3.48,70.99,68.63,73.93,6.54,2
"261","Uttar Pradesh","Saharanpur",920.89,76.4,99,54.35,77.44,67.4,3.31,68.46,80.42,82.91,2.39,2
"262","Uttar Pradesh","Sant Kabir Nagar",942.58,63.41,91,48.59,58.52,60.88,3.84,95.47,68.16,88.73,2.35,2
"263","Uttar Pradesh","Sant Ravidas Nagar (Bhadohi)",886.26,81.79,106,59.24,42.2,69.68,2.88,78.7,72.77,93.74,2.32,2
"264","Uttar Pradesh","Shahjahanpur",907.13,80.39,100,57.61,40.87,49.71,4.17,82.15,71.87,79.94,3.18,2
"265","Uttar Pradesh","Shrawasti",856.63,96.36,130,67.83,24.9,41.73,5.52,97.23,51.84,79.96,4.13,2
"266","Uttar Pradesh","Siddharthnagar",956.96,87.18,116,69.69,51.42,41.1,4.82,105.65,60.48,84.91,3.64,2
"267","Uttar Pradesh","Sitapur",993.04,80.19,114,53.96,35.43,69.87,4.42,83.91,67.15,81.97,4.13,2
"268","Uttar Pradesh","Sonbhadra",930.56,68.59,99,52.07,32.41,44.51,3.78,85.53,66.95,87.41,3.25,2
"269","Uttar Pradesh","Sultanpur",937.63,45.1,66,31.48,47.22,80.56,3.03,76.09,73.61,93.95,4.23,1
"270","Uttar Pradesh","Unnao",937.23,58.33,83,36.65,63.07,74.38,3.08,68.25,74.1,87.36,2.83,2
"271","Uttar Pradesh","Varanasi",847.53,71.59,90,49.83,65.22,70.79,2.32,64.82,79.17,91.36,3,2
"272","Uttarakhand","Almora",878.28,20.39,24,14.87,87.28,64.36,1.98,73.55,85.46,98.27,0.3,1
"273","Uttarakhand","Bageshwar",828.47,31.46,38,19.51,82.53,57.26,1.76,72.01,85.17,97.87,0.31,1
"274","Uttarakhand","Chamoli",860.54,25.55,29,17.12,87.75,61.2,1.97,66.47,88.95,98.67,0.22,1
"275","Uttarakhand","Champawat",877.64,33.58,42,23.94,87.67,77.13,2,72.21,84.38,96.43,0.44,1
"276","Uttarakhand","Dehradun",885.64,34.14,40,24.96,86.93,79.49,1.85,54.03,86.79,94.65,2.96,1
"277","Uttarakhand","Haridwar",874.5,63.91,77,44.95,60.84,62.42,2.74,65.37,76.04,86.66,3.13,2
"278","Uttarakhand","Nainital",916.63,28.92,36,20.5,87.24,85.36,1.88,55.5,91.1,94.74,0.89,1
"279","Uttarakhand","Pauri Garhwal",878.93,37.42,45,24.8,84.15,65.54,2.15,68.18,82.89,97.57,2.71,1
"280","Uttarakhand","Pithoragarh",767.4,22.91,27,14.39,88.74,71.1,1.71,69.07,87.31,98.28,0.27,1
"281","Uttarakhand","Rudraprayag",856.77,19.22,26,11.22,85.7,59.87,1.83,73.57,84.6,98.87,0.09,1
"282","Uttarakhand","Tehri Garhwal",869.83,53.25,65,38.48,76,54.25,2.46,77.8,75.66,97.99,2.07,1
"283","Uttarakhand","Udham Singh Nagar",869.49,34.59,44,26.94,83,79.03,2.11,59.59,79.53,88.78,1.8,1
"284","Uttarakhand","Uttarkashi",909.12,41.57,51,26.26,74.73,62.45,1.85,67.22,79.96,97.98,1.76,1
